# Species	Genes	Alg.-Conn.	GCA_010727945.1_protein.faa	GCA_010728725.1_protein.faa	GCA_010730195.1_protein.faa	GCA_019456655.1_protein.faa	GCA_900292015.1_protein.faa
5	7	0.248	BBX47421.1,BBX47477.1	BBZ12122.1,BBZ11176.1	BBZ42657.1	QYL23055.1	VDM86796.1
5	7	0.236	BBX48459.1	BBZ10155.1,BBZ10115.1	BBZ37824.1	QYL24197.1	VDM87640.1,VDM89552.1
5	7	0.233	BBX48133.1	BBZ10479.1,BBZ12063.1	BBZ37494.1,BBZ42069.1	QYL23762.1	VDM87312.1
5	7	0.216	BBX45902.1	BBZ12707.1	BBZ38059.1	QYL24550.1,QYL23928.1	VDM89535.1,VDM87794.1
5	7	0.191	BBX46484.1,BBX45339.1	BBZ12034.1	BBZ41641.1	QYL22132.1	VDM90640.1,VDM89706.1
5	7	0.19	BBX47851.1,BBX47857.1	BBZ10803.1	BBZ37251.1,BBZ42411.1	QYL22875.1	VDM86604.1
5	7	0.18	BBX46374.1	BBZ12200.1	BBZ40229.1,BBZ41463.1	QYL20587.1,QYL21124.1	VDM90506.1
5	7	0.177	BBX46386.1	BBZ14958.1	BBZ41476.1	QYL21116.1,QYL21376.1,QYL24581.1	VDM90521.1
5	7	0.161	BBX47903.1,BBX47902.1	BBZ10727.1,BBZ10728.1	BBZ37304.1	QYL23541.1	VDM87152.1
5	7	0.157	BBX47500.1,BBX47237.1	BBZ11136.1	BBZ42693.1,BBZ42694.1	QYL23098.1	VDM86819.1
5	7	0.123	BBX44676.1	BBZ13873.1	BBZ39362.1	QYL20772.1	VDM88745.1,VDM88157.1,VDM89583.1
5	7	0.122	BBX46379.1	BBZ12195.1	BBZ40247.1	QYL21366.1,QYL25673.1,QYL24591.1	VDM90511.1
5	7	0.115	BBX46384.1,BBX48586.1	BBZ15372.1	BBZ41474.1,BBZ42054.1	QYL21373.1	VDM90519.1
5	7	0.113	BBX44173.1	BBZ13546.1	BBZ39991.1,BBZ42526.1,BBZ37936.1	QYL24385.1	VDM87637.1
5	7	0.113	BBX47749.1	BBZ10903.1,BBZ14519.1,BBZ10902.1	BBZ42104.1	QYL25843.1	VDM87826.1
5	7	0.112	BBX48311.1	BBZ12938.1	BBZ41083.1,BBZ38864.1,BBZ40711.1	QYL22760.1	VDM90190.1
5	7	0.111	BBX44766.1	BBZ15590.1	BBZ39786.1	QYL21697.1,QYL22602.1,QYL23391.1	VDM89097.1
5	7	0.111	BBX46895.1	BBZ11606.1	BBZ37280.1	QYL20468.1,QYL22749.1,QYL25305.1	VDM87128.1
5	7	0.111	BBX47693.1,BBX46647.1	BBZ10954.1	BBZ37108.1,BBZ39202.1	QYL22298.1	VDM86968.1
5	7	0.108	BBX45905.1	BBZ12776.1	BBZ38062.1	QYL23922.1,QYL23911.1	VDM89529.1,VDM87795.1
5	7	0.107	BBX45728.1,BBX44972.1	BBZ12888.1	BBZ40804.1,BBZ37435.1	QYL21503.1	VDM88847.1
5	7	0.107	BBX48796.1	BBZ14752.1,BBZ15347.1	BBZ38181.1	QYL24474.1	VDM87860.1,VDM89512.1
5	7	0.105	BBX44762.1	BBZ15220.1	BBZ39782.1	QYL21700.1,QYL25383.1,QYL22540.1	VDM89093.1
5	7	0.105	BBX46648.1	BBZ11860.1,BBZ11207.1	BBZ41782.1,BBZ37843.1	QYL22239.1	VDM90788.1
5	7	0.103	BBX44191.1	BBZ14372.1,BBZ12298.1	BBZ40556.1	QYL24924.1,QYL22072.1	VDM86590.1
5	7	0.103	BBX46526.1,BBX46022.1	BBZ12544.1	BBZ41483.1	QYL21724.1,QYL21414.1	VDM90525.1
5	6	0.656	BBX46246.1	BBZ12351.1	BBZ41330.1	QYL21956.1,QYL23774.1	VDM90393.1
5	6	0.653	BBX44303.1	BBZ14221.1	BBZ38956.1	QYL24319.1,QYL25040.1	VDM88371.1
5	6	0.653	BBX46455.1	BBZ12108.1,BBZ15518.1	BBZ41591.1	QYL21432.1	VDM90588.1
5	6	0.652	BBX46806.1	BBZ11682.1	BBZ41937.1	QYL22452.1,QYL24304.1	VDM90949.1
5	6	0.648	BBX47769.1	BBZ10878.1	BBZ37198.1	QYL23443.1,QYL23772.1	VDM87057.1
5	6	0.647	BBX44621.1	BBZ13921.1	BBZ39304.1	QYL20584.1,QYL20830.1	VDM88698.1
5	6	0.646	BBX44622.1	BBZ13920.1	BBZ39305.1	QYL20583.1,QYL20829.1	VDM88699.1
5	6	0.646	BBX46351.1	BBZ12226.1	BBZ41441.1	QYL22085.1,QYL23680.1	VDM90479.1
5	6	0.641	BBX46352.1	BBZ12225.1	BBZ41442.1	QYL22086.1,QYL23681.1	VDM90480.1
5	6	0.637	BBX45164.1	BBZ13455.1	BBZ40079.1,BBZ42533.1	QYL22745.1	VDM89346.1
5	6	0.636	BBX47563.1	BBZ11101.1,BBZ15567.1	BBZ36953.1	QYL21447.1	VDM86848.1
5	6	0.63	BBX46382.1	BBZ12192.1	BBZ41471.1	QYL21369.1,QYL25624.1	VDM90514.1
5	6	0.63	BBX47366.1	BBZ11279.1,BBZ15441.1	BBZ42553.1	QYL24125.1	VDM86696.1
5	6	0.627	BBX46454.1	BBZ12109.1,BBZ15517.1	BBZ41590.1	QYL21431.1	VDM90587.1
5	6	0.624	BBX48365.1	BBZ10269.1,BBZ12312.1	BBZ42409.1	QYL24075.1	VDM86602.1
5	6	0.614	BBX43988.1,BBX48958.1	BBZ14617.1	BBZ38444.1	QYL24710.1	VDM88041.1
5	6	0.612	BBX45556.1	BBZ13108.1	BBZ40651.1	QYL21309.1,QYL24697.1	VDM89843.1
5	6	0.611	BBX47373.1	BBZ11270.1,BBZ15363.1	BBZ42546.1	QYL24134.1	VDM86704.1
5	6	0.61	BBX45020.1	BBZ13645.1	BBZ39833.1	QYL20437.1,QYL25295.1	VDM89129.1
5	6	0.604	BBX48232.1	BBZ10383.1	BBZ37591.1,BBZ38238.1	QYL23898.1	VDM87401.1
5	6	0.584	BBX47372.1	BBZ11271.1,BBZ15364.1	BBZ42547.1	QYL24133.1	VDM86703.1
5	6	0.553	BBX44002.1,BBX48969.1	BBZ14608.1	BBZ38454.1	QYL24730.1	VDM88049.1
5	6	0.553	BBX47365.1	BBZ11280.1,BBZ15442.1	BBZ42554.1	QYL24124.1	VDM86695.1
5	6	0.488	BBX45476.1	BBZ13969.1	BBZ40545.1	QYL20539.1	VDM89759.1,VDM89755.1
5	6	0.471	BBX44695.1	BBZ13856.1	BBZ39382.1	QYL22854.1,QYL20754.1	VDM88769.1
5	6	0.47	BBX45427.1	BBZ13226.1	BBZ40498.1	QYL21104.1	VDM89713.1,VDM89484.1
5	6	0.466	BBX47521.1	BBZ11117.1	BBZ42718.1,BBZ41486.1	QYL22484.1	VDM86838.1
5	6	0.458	BBX44116.1	BBZ14431.1,BBZ14429.1	BBZ38551.1	QYL21801.1	VDM88182.1
5	6	0.45	BBX45229.1	BBZ13400.1,BBZ14815.1	BBZ40178.1	QYL20373.1	VDM89424.1
5	6	0.449	BBX46415.1,BBX44785.1	BBZ12161.1	BBZ41555.1	QYL25702.1	VDM90547.1
5	6	0.447	BBX47370.1	BBZ15366.1,BBZ11273.1	BBZ42549.1	QYL24129.1	VDM86700.1
5	6	0.428	BBX46941.1	BBZ14013.1,BBZ13013.1	BBZ41009.1	QYL21377.1	VDM90137.1
5	6	0.428	BBX48829.1	BBZ14731.1	BBZ38305.1	QYL24556.1,QYL25491.1	VDM87887.1
5	6	0.412	BBX44637.1,BBX47012.1	BBZ13907.1	BBZ39319.1	QYL20818.1	VDM88706.1
5	6	0.404	BBX47371.1	BBZ11272.1,BBZ15365.1	BBZ42548.1	QYL24131.1	VDM86702.1
5	6	0.393	BBX44386.1	BBZ14169.1,BBZ14168.1	BBZ39010.1	QYL25097.1	VDM88429.1
5	6	0.393	BBX44765.1	BBZ15591.1	BBZ39785.1	QYL23688.1,QYL21698.1	VDM89096.1
5	6	0.379	BBX44772.1	BBZ14825.1	BBZ39793.1	QYL21085.1,QYL25818.1	VDM89103.1
5	6	0.352	BBX47229.1	BBZ12244.1,BBZ11059.1	BBZ41423.1	QYL22062.1	VDM86563.1
5	6	0.332	BBX45995.1	BBZ12566.1	BBZ41118.1	QYL22802.1,QYL23773.1	VDM90207.1
5	6	0.315	BBX48428.1	BBZ10189.1	BBZ37792.1	QYL22581.1,QYL24184.1	VDM87614.1
5	6	0.311	BBX45840.1	BBZ12817.1,BBZ15436.1	BBZ40905.1	QYL21590.1	VDM90079.1
5	6	0.308	BBX46437.1	BBZ12140.1,BBZ15384.1	BBZ41575.1	QYL21420.1	VDM90567.1
5	6	0.302	BBX45428.1	BBZ13225.1	BBZ40499.1	QYL21105.1	VDM89714.1,VDM89485.1
5	6	0.3	BBX47233.1	BBZ12239.1	BBZ41428.1	QYL22067.1	VDM86565.1,VDM90736.1
5	6	0.299	BBX46440.1	BBZ12137.1,BBZ15376.1	BBZ39518.1	QYL21423.1	VDM90570.1
5	6	0.297	BBX47367.1	BBZ11278.1,BBZ15440.1	BBZ42552.1	QYL24126.1	VDM86697.1
5	6	0.295	BBX48458.1	BBZ10156.1,BBZ10114.1	BBZ37823.1	QYL24196.1	VDM87639.1
5	6	0.293	BBX44767.1	BBZ15215.1	BBZ39787.1	QYL25813.1,QYL23690.1	VDM89098.1
5	6	0.291	BBX44771.1	BBZ15211.1,BBZ15585.1	BBZ39791.1	QYL21693.1	VDM89102.1
5	6	0.281	BBX45623.1	BBZ12994.1	BBZ40721.1,BBZ40705.1	QYL24537.1	VDM89893.1
5	6	0.28	BBX47461.1	BBZ11196.1	BBZ42640.1,BBZ41513.1	QYL24841.1	VDM86781.1
5	6	0.279	BBX46056.1	BBZ11620.1	BBZ39172.1,BBZ41060.1	QYL21789.1	VDM90161.1
5	6	0.276	BBX45872.1	BBZ12708.1,BBZ12771.1	BBZ38058.1	QYL20379.1	VDM87793.1
5	6	0.273	BBX48410.1	BBZ10217.1,BBZ10218.1	BBZ37772.1	QYL24121.1	VDM87591.1
5	6	0.268	BBX48888.1	BBZ13612.1,BBZ11517.1	BBZ42714.1	QYL23622.1	VDM89133.1
5	6	0.265	BBX47536.1	BBZ12704.1,BBZ12775.1	BBZ38060.1	QYL23935.1	VDM89475.1
5	6	0.25	BBX45312.1	BBZ12613.1	BBZ41057.1	QYL21667.1,QYL22263.1	VDM90158.1
5	6	0.234	BBX47231.1	BBZ12241.1	BBZ41426.1	QYL22065.1	VDM90737.1,VDM86566.1
5	6	0.22	BBX44998.1	BBZ12101.1	BBZ39953.1,BBZ37970.1	QYL23218.1	VDM90498.1
5	6	0.219	BBX47062.1	BBZ11459.1,BBZ14533.1	BBZ42173.1	QYL22679.1	VDM91230.1
5	6	0.199	BBX44341.1	BBZ12989.1	BBZ41484.1	QYL24531.1,QYL25704.1	VDM90526.1
5	6	0.199	BBX46992.1	BBZ11543.1	BBZ42256.1,BBZ40336.1	QYL22780.1	VDM88052.1
5	6	0.198	BBX45225.1	BBZ13404.1	BBZ38282.1	QYL20948.1,QYL20947.1	VDM87873.1
5	6	0.197	BBX48864.1,BBX48867.1	BBZ14699.1	BBZ38345.1	QYL23430.1	VDM90612.1
5	6	0.192	BBX45611.1	BBZ13002.1	BBZ41478.1	QYL21359.1	VDM89887.1,VDM90489.1
5	6	0.19	BBX45109.1	BBZ13258.1,BBZ13512.1	BBZ40477.1	QYL20317.1	VDM89694.1
5	6	0.189	BBX47194.1	BBZ11868.1	BBZ41603.1,BBZ41744.1	QYL21440.1	VDM90601.1
5	6	0.177	BBX45801.1	BBZ10520.1	BBZ42514.1,BBZ37261.1	QYL23515.1	VDM86665.1
5	6	0.177	BBX46892.1	BBZ11608.1	BBZ39880.1	QYL20467.1,QYL21020.1	VDM87322.1
5	6	0.177	BBX48758.1	BBZ12965.1	BBZ40736.1,BBZ39986.1	QYL24516.1	VDM87843.1
5	6	0.163	BBX44616.1	BBZ13926.1,BBZ11056.1	BBZ39291.1	QYL20853.1	VDM88694.1
5	6	0.156	BBX44487.1,BBX48398.1	BBZ14069.1	BBZ39100.1	QYL25177.1	VDM88526.1
5	6	0.156	BBX44769.1	BBZ15213.1	BBZ39789.1	QYL21695.1,QYL22535.1	VDM89100.1
5	6	0.156	BBX46416.1	BBZ12160.1	BBZ41556.1,BBZ38694.1	QYL21406.1	VDM90548.1
5	6	0.154	BBX48618.1	BBZ09979.1,BBZ15091.1	BBZ38025.1	QYL24360.1	VDM87758.1
5	6	0.153	BBX44615.1	BBZ13927.1,BBZ11055.1	BBZ39290.1	QYL20854.1	VDM88693.1
5	6	0.153	BBX45477.1	BBZ13968.1	BBZ40546.1	QYL20538.1	VDM89760.1,VDM89756.1
5	6	0.152	BBX45959.1	BBZ12608.1	BBZ41063.1,BBZ40535.1	QYL21674.1	VDM90164.1
5	6	0.15	BBX47453.1	BBZ11202.1,BBZ11193.1	BBZ42634.1	QYL24825.1	VDM86775.1
5	6	0.148	BBX45552.1	BBZ13115.1,BBZ13943.1	BBZ40646.1	QYL21301.1	VDM89839.1
5	6	0.148	BBX48662.1	BBZ09917.1	BBZ38066.1	QYL24390.1	VDM87800.1,VDM89488.1
5	6	0.146	BBX47623.1	BBZ10996.1,BBZ11714.1	BBZ36978.1	QYL23304.1	VDM88349.1
5	6	0.146	BBX47718.1	BBZ10925.1	BBZ37061.1,BBZ37060.1	QYL23401.1	VDM90747.1
5	6	0.145	BBX46381.1	BBZ12193.1	BBZ41470.1	QYL20593.1,QYL21368.1	VDM90513.1
5	6	0.145	BBX46406.1	BBZ12170.1	BBZ41549.1	QYL21393.1,QYL25043.1	VDM90542.1
5	6	0.144	BBX45630.1	BBZ12987.1	BBZ41482.1	QYL25487.1,QYL20578.1	VDM90524.1
5	6	0.143	BBX44601.1	BBZ13099.1	BBZ39275.1	QYL20667.1	VDM88832.1,VDM88676.1
5	6	0.142	BBX45610.1	BBZ13003.1	BBZ40692.1,BBZ41738.1	QYL25081.1	VDM89886.1
5	6	0.14	BBX44824.1	BBZ14525.1,BBZ13329.1	BBZ39841.1	QYL20444.1	VDM88687.1
5	6	0.14	BBX45962.1	BBZ12602.1,BBZ15495.1	BBZ41067.1	QYL21678.1	VDM90173.1
5	6	0.139	BBX46408.1	BBZ12168.1	BBZ41551.1,BBZ38234.1	QYL21401.1	VDM90544.1
5	6	0.137	BBX45612.1	BBZ13001.1	BBZ41479.1	QYL21352.1,QYL25696.1	VDM89888.1
5	6	0.137	BBX46380.1	BBZ12194.1	BBZ41469.1,BBZ40246.1	QYL25674.1	VDM90512.1
5	6	0.137	BBX46681.1,BBX48895.1	BBZ11833.1	BBZ41810.1	QYL22309.1	VDM90814.1
5	6	0.136	BBX45922.1,BBX47633.1	BBZ10985.1	BBZ40430.1	QYL23314.1	VDM90127.1
5	6	0.136	BBX48025.1	BBZ10564.1,BBZ10565.1	BBZ37445.1	QYL22425.1	VDM87269.1
5	6	0.135	BBX46418.1	BBZ12158.1	BBZ41558.1,BBZ41490.1	QYL21407.1	VDM90550.1
5	6	0.134	BBX44019.1	BBZ14591.1	BBZ38472.1	QYL24745.1,QYL22880.1	VDM88064.1
5	6	0.133	BBX44211.1	BBZ14348.1,BBZ14832.1	BBZ38642.1	QYL21685.1	VDM88253.1
5	6	0.133	BBX48283.1	BBZ10343.1	BBZ37632.1,BBZ42381.1	QYL23977.1	VDM86601.1
5	6	0.131	BBX46051.1,BBX44446.1	BBZ12511.1	BBZ41177.1	QYL21783.1	VDM90250.1
5	6	0.128	BBX45675.1	BBZ12205.1	BBZ41161.1,BBZ38236.1	QYL25589.1	VDM90230.1
5	6	0.127	BBX45464.1	BBZ13195.1,BBZ15389.1	BBZ40534.1	QYL23072.1	VDM89744.1
5	6	0.127	BBX45967.1,BBX47295.1	BBZ12597.1	BBZ41074.1	QYL23464.1	VDM90179.1
5	6	0.127	BBX47281.1,BBX44334.1	BBZ14208.1	BBZ38293.1	QYL21653.1	VDM87874.1
5	6	0.127	BBX47528.1	BBZ11111.1	BBZ36945.1,BBZ37404.1	QYL25319.1	VDM88843.1
5	6	0.127	BBX48948.1	BBZ14625.1	BBZ38435.1,BBZ38890.1	QYL24705.1	VDM88004.1
5	6	0.126	BBX45000.1	BBZ12103.1	BBZ39951.1,BBZ37968.1	QYL23220.1	VDM90500.1
5	6	0.125	BBX44618.1	BBZ13924.1	BBZ39293.1,BBZ37161.1	QYL20846.1	VDM88696.1
5	6	0.125	BBX46364.1	BBZ12214.1	BBZ41456.1	QYL20586.1,QYL25695.1	VDM90494.1
5	6	0.121	BBX44160.1	BBZ10044.1	BBZ38599.1	QYL25816.1,QYL22738.1	VDM88215.1
5	6	0.119	BBX44997.1	BBZ12100.1	BBZ39954.1,BBZ37971.1	QYL23217.1	VDM90497.1
5	6	0.119	BBX45099.1,BBX47003.1	BBZ11526.1	BBZ42046.1	QYL21305.1	VDM91063.1
5	6	0.119	BBX45997.1,BBX47278.1	BBZ12564.1	BBZ41120.1	QYL23599.1	VDM90209.1
5	6	0.119	BBX48132.1	BBZ10480.1,BBZ12674.1	BBZ37493.1	QYL21627.1	VDM87311.1
5	6	0.114	BBX45230.1,BBX44965.1	BBZ13396.1	BBZ40139.1	QYL24845.1	VDM89404.1
5	6	0.112	BBX44628.1	BBZ15300.1	BBZ39054.1	QYL24862.1	VDM88482.1,VDM88480.1
5	6	0.111	BBX44999.1	BBZ12102.1	BBZ39952.1,BBZ37969.1	QYL23219.1	VDM90499.1
5	6	0.111	BBX46438.1	BBZ12139.1,BBZ15385.1	BBZ41576.1	QYL21421.1	VDM90568.1
5	6	0.111	BBX48338.1	BBZ10937.1	BBZ38372.1,BBZ41275.1	QYL20466.1	VDM87957.1
5	6	0.11	BBX46268.1	BBZ11300.1	BBZ42494.1	QYL20568.1,QYL22252.1	VDM89540.1
5	6	0.109	BBX46060.1	BBZ12010.1	BBZ41185.1	QYL21792.1,QYL22152.1	VDM90258.1
5	6	0.106	BBX44364.1	BBZ14183.1	BBZ39692.1	QYL21208.1,QYL25684.1	VDM88999.1
5	6	0.106	BBX45676.1	BBZ12944.1,BBZ14845.1	BBZ41078.1	QYL24525.1	VDM90186.1
5	6	0.105	BBX44128.1	BBZ14409.1	BBZ38558.1,BBZ38911.1	QYL20385.1	VDM88192.1
5	6	0.105	BBX44536.1	BBZ14006.1	BBZ39158.1,BBZ41023.1	QYL23598.1	VDM88619.1
5	6	0.105	BBX44848.1	BBZ13800.1,BBZ15563.1	BBZ39570.1	QYL22597.1	VDM88890.1
5	6	0.104	BBX46927.1,BBX47815.1	BBZ11566.1	BBZ42133.1	QYL22557.1	VDM91131.1
5	6	0.104	BBX48340.1	BBZ10292.1	BBZ37691.1,BBZ40353.1	QYL25419.1	VDM87477.1
5	6	0.103	BBX47289.1	BBZ10739.1,BBZ10737.1	BBZ37294.1	QYL23533.1	VDM87143.1
5	6	0.101	BBX44370.1	BBZ13935.1	BBZ42103.1	QYL20862.1	VDM88685.1,VDM91108.1
5	5	0.98	BBX47912.1	BBZ10720.1	BBZ37311.1	QYL23547.1	VDM87159.1
5	5	0.978	BBX47452.1	BBZ11203.1	BBZ42631.1	QYL25722.1	VDM86774.1
5	5	0.977	BBX45733.1	BBZ12883.1	BBZ40809.1	QYL25712.1	VDM89981.1
5	5	0.976	BBX47141.1	BBZ11415.1	BBZ42309.1	QYL22812.1	VDM91293.1
5	5	0.975	BBX47054.1	BBZ11468.1	BBZ42181.1	QYL22668.1	VDM91222.1
5	5	0.974	BBX46823.1	BBZ11665.1	BBZ41954.1	QYL22465.1	VDM90965.1
5	5	0.972	BBX44544.1	BBZ13994.1	BBZ39164.1	QYL25232.1	VDM88631.1
5	5	0.972	BBX47616.1	BBZ11006.1	BBZ37021.1	QYL23298.1	VDM86915.1
5	5	0.971	BBX47808.1	BBZ10865.1	BBZ37210.1	QYL23455.1	VDM87073.1
5	5	0.969	BBX44682.1	BBZ13869.1	BBZ39368.1	QYL20768.1	VDM88749.1
5	5	0.969	BBX47001.1	BBZ11533.1	BBZ42249.1	QYL25823.1	VDM91155.1
5	5	0.969	BBX47462.1	BBZ11191.1	BBZ42643.1	QYL24827.1	VDM86784.1
5	5	0.969	BBX48621.1	BBZ09976.1	BBZ38028.1	QYL24363.1	VDM87761.1
5	5	0.968	BBX44355.1	BBZ14188.1	BBZ38996.1	QYL25085.1	VDM88412.1
5	5	0.967	BBX44105.1	BBZ14439.1	BBZ38543.1	QYL24887.1	VDM88171.1
5	5	0.967	BBX45532.1	BBZ13135.1	BBZ40597.1	QYL25689.1	VDM89807.1
5	5	0.967	BBX46691.1	BBZ11826.1	BBZ41817.1	QYL22318.1	VDM90821.1
5	5	0.967	BBX46850.1	BBZ11635.1	BBZ42000.1	QYL22488.1	VDM91011.1
5	5	0.967	BBX47588.1	BBZ11036.1	BBZ36987.1	QYL23148.1	VDM86884.1
5	5	0.967	BBX47622.1	BBZ10997.1	BBZ37030.1	QYL23303.1	VDM86924.1
5	5	0.966	BBX46398.1	BBZ12181.1	BBZ41544.1	QYL21385.1	VDM90537.1
5	5	0.966	BBX47966.1	BBZ10634.1	BBZ37353.1	QYL23594.1	VDM87209.1
5	5	0.965	BBX44921.1	BBZ13714.1	BBZ39660.1	QYL23244.1	VDM88979.1
5	5	0.965	BBX45729.1	BBZ12887.1	BBZ40805.1	QYL21505.1	VDM89977.1
5	5	0.965	BBX46786.1	BBZ11701.1	BBZ41915.1	QYL22440.1	VDM90926.1
5	5	0.965	BBX47157.1	BBZ11403.1	BBZ42333.1	QYL22823.1	VDM86536.1
5	5	0.965	BBX48658.1	BBZ09926.1	BBZ38050.1	QYL24387.1	VDM87784.1
5	5	0.964	BBX44570.1	BBZ13973.1	BBZ39190.1	QYL25258.1	VDM88655.1
5	5	0.964	BBX44663.1	BBZ13885.1	BBZ39340.1	QYL20785.1	VDM88724.1
5	5	0.964	BBX47027.1	BBZ11497.1	BBZ42220.1	QYL22647.1	VDM91195.1
5	5	0.964	BBX47173.1	BBZ11391.1	BBZ42345.1	QYL22837.1	VDM86546.1
5	5	0.964	BBX47583.1	BBZ11040.1	BBZ36982.1	QYL23144.1	VDM86878.1
5	5	0.964	BBX47612.1	BBZ11010.1	BBZ37018.1	QYL23296.1	VDM86911.1
5	5	0.964	BBX48448.1	BBZ10167.1	BBZ37813.1	QYL24189.1	VDM87627.1
5	5	0.963	BBX45244.1	BBZ13384.1	BBZ40169.1	QYL20967.1	VDM89416.1
5	5	0.963	BBX46271.1	BBZ12328.1	BBZ41351.1	QYL21990.1	VDM90404.1
5	5	0.963	BBX47011.1	BBZ11520.1	BBZ42241.1	QYL22631.1	VDM91176.1
5	5	0.963	BBX48291.1	BBZ10331.1	BBZ37642.1	QYL24015.1	VDM87441.1
5	5	0.962	BBX46679.1	BBZ11835.1	BBZ41808.1	QYL22307.1	VDM90812.1
5	5	0.962	BBX46824.1	BBZ11664.1	BBZ41955.1	QYL22466.1	VDM90966.1
5	5	0.962	BBX47019.1	BBZ11505.1	BBZ42228.1	QYL22639.1	VDM91187.1
5	5	0.962	BBX47596.1	BBZ11027.1	BBZ36997.1	QYL23162.1	VDM86893.1
5	5	0.962	BBX48294.1	BBZ10328.1	BBZ37645.1	QYL24017.1	VDM87444.1
5	5	0.961	BBX45392.1	BBZ13274.1	BBZ40462.1	QYL21084.1	VDM89678.1
5	5	0.961	BBX45526.1	BBZ13140.1	BBZ40591.1	QYL21264.1	VDM89798.1
